선거구명,사진,성명(한자),성별,생년월일(연령),주소,직업,학력,경력,전과기록유무(건수),등록일자,huboId,선거유형,시도,조회_시도코드,조회_sggCityCode,조회_townCode
서울특별시,,"강민정
 
(姜旼姃)",여,"1961.04.26
(65세)",서울특별시 노원구 상계로26길,(사)징검다리교육공동체 이사,서울대학교 사범대학 역사교육과 졸업,"(전)노무현대통령직속 민주평화통일자문회의 자문위원
(전)북서울중학교 등 교사경력 24년",1건,2026-02-03,100153779,교육감,서울특별시,1100,-1,-1
서울특별시,,"김영배
 
(金永培)",남,"1968.12.05
(57세)",서울특별시 마포구 성미산로29길,예원예술대학교 부총장,동방문화대학원대학교 자연치유학과 졸업(교육학박사),"(현)지속가능경영학회 회장
(현)대한민국사회공헌재단 이사장",3건,2026-02-03,100153800,교육감,서울특별시,1100,-1,-1
서울특별시,,"류수노
 
(柳守魯)",남,"1956.09.02
(69세)",서울특별시 종로구 종로,한국방송통신대학교 명예교수,충남대학교 대학원 졸업(농학박사),"(전)한국방송통신대학교 총장(장관급)
(현)한성대학교 석좌교수",없음,2026-02-03,100153786,교육감,서울특별시,1100,-1,-1
서울특별시,,"윤호상
 
(尹昊相)",남,"1959.04.27
(67세)",서울특별시 성동구 뚝섬로13길,한양대학교 교육대학원 겸임교수,숭실대학교대학원 평생교육학과 졸업(교육학 박사),"(전)신도림고포함네개학교교장
(전)서울시교육감후보2회",없음,2026-02-03,100153774,교육감,서울특별시,1100,-1,-1
서울특별시,,"홍제남
 
(洪弟男)",여,"1965.04.26
(61세)",서울특별시 관악구 인헌16다길,한국교원대학교 교육정책전문대학원 겸임교수,한국교원대학교 교육정책전문대학원 졸업 교육학박사,"(전)서울특별시남부교육지원청 교육지원국장
(전)오류중학교 교장",2건,2026-02-03,100153778,교육감,서울특별시,1100,-1,-1
서울특별시,,"한만중
 
(韓萬中)",남,"1963.12.29
(62세)",서울특별시 마포구 대흥로8길,전국교육자치혁신연대 상임대표,서울대학교 사범대학 국어교육과 졸업,"(전)노무현대통령직인수위자문위원(교육분야)
(전)조희연 서울특별시교육청 교육감 비서실장",1건,2026-02-23,100155563,교육감,서울특별시,1100,-1,-1
서울특별시,,"강신만
 
(姜信晩)",남,"1963.02.20
(63세)",서울특별시 도봉구 방학로15길,서울교육희망포럼 대표,서울대학교 사범대학 체육교육과 졸업,"(전)대통령직속 국가교육회의 지역사회특별위원
(전)조희연 서울시교육감 혁신미래교육추진위원장",없음,2026-02-25,100156124,교육감,서울특별시,1100,-1,-1
서울특별시,,"김현철
 
(金泫喆)",남,"1967.03.23
(59세)",서울특별시 관악구 성현로,서울교육자치시민회의 상임대표,영국 얼스터대학교 인문대학 미디어학 박사(2002.10~2008.12),"(전)조희연 2기 서울특별시교육청 대변인
(전)사립학교 동구학원 관선이사",없음,2026-03-10,100157710,교육감,서울특별시,1100,-1,-1
서울특별시,,"이건주
 
(李建周)",남,"1967.10.03
(58세)",서울특별시 송파구 위례송파로,이건주교육연구소 대표,서울시립대학교 대학원 국어국문학과 졸업(문학박사),"(전)한국교원단체총연합회 현장대변인
(전)서울과학고등학교 교사",없음,2026-03-11,100157844,교육감,서울특별시,1100,-1,-1
서울특별시,,"신평
 
(申平)",남,"1956.01.01
(70세)",서울특별시 용산구 원효로90길,변호사(교육전문),서울대학교 법과대학 법학과 졸업,"(현)변호사(교육전문)
(전)경북대학교 로스쿨 교수 역임",1건,2026-03-12,100158091,교육감,서울특별시,1100,-1,-1
